id,Media,Date,Title,Author,Description
96,novel,1993,Voyager,Diana Gabaldon,"Time-travel romance, the third of the Outlander series. Time travel from the 20th century to 18th century."
97,novel,1993,The Cross Time Engineer,Leo Frankowski,20th Century Polish Engineer is transported back to 13th century Poland 10 years before the Mongol invasion.
98,novel,1995,The Hundred-Light-Year-Diary,Greg Egan,"After the invention of a method for sending messages back in time, history of the future becomes common knowledge, and every person knows their own fate."
99,novel,1995,The Time Ships,Stephen Baxter,Authorised sequel to H. G. Wells' The Time Machine.
100,novel,1996,Drums of Autumn,Diana Gabaldon,"Time-travel romance, the fourth of the Outlander series. Time travel from the 20th century to 18th century."
101,novel,1996,Timequake,Kurt Vonnegut,People in 2001 are transported back to 1991 to relive their lives.
102,novel,1996,The Dechronization of Sam Magruder,George Gaylord Simpson,A scientist working in the year 2162 is thrown back in time 80 million years to the Jurassic period.
103,novel,1996,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,Researchers look back in time to see Christopher Columbus's arrival in the New World in order to save the world from ecological disaster.
104,novel,1996,Animorphs,K. A. Applegate,"In book 11, the Animorphs and Visser 3 are sent back a few hours to the Amazon by a Saurio Rip, with the plot used again in Altermorph 1. The same concept is uses to sent the animorphs back to time to 65 million B.C. in Megamorph 2. In the Andalite Chronicles, Elfangor discovers a technology known as the Time Matrix, seen again in Megamorph 3."
105,novel,1996,"""The Devil on the Road""",Robert Westall,A young motorbiker takes shelter in a barn in Suffolk during a storm and is transported back to the 17th Century at the time of the English Civil War.
106,novel,1997,In the Garden of Iden,Kage Baker,"This is the first book of Baker's The Company series, all of which involve time travel."
107,novel,1997,Making History,Stephen Fry,Two men in the present attempt to prevent the birth of Adolf Hitler.
108,novel,1997,To Say Nothing of the Dog,Connie Willis,A comedy in which time travelers from 2048 travel back to the 19th century in order to find an artifact for a dictatorial wealthy woman; adventures occur in The Blitz and other occasions.
109,novel,1997,Corrupting Dr. Nice,John Kessel,"Modeled on 1930s screwball comedies; set in Cretaceous, 40 AD Jerusalem and 2060 AD. Features a scene with a dinosaur in a hotel room."
110,novel,1998,The Transall Saga,Gary Paulsen,"A boy gets transported to a weird world by a blue light, only to discover that it is the dark future of planet Earth"
111,novel,1998,Island in the Sea of Time,S. M. Stirling,Nantucket is transported 3000 years back in time because of a space disturbance.
112,novel,1999,King of Shadows,Susan Cooper,A modern day boy switches places with a Shakespearean actor who needs to be cured by modern medicine so as to return to his own age and help Shakespeare to greater success on the stage.
113,novel,1999,All of an Instant,Richard Garfinkle,People from three atemporal time tribes must unite to save the crystallization and fracturing of all of history.
